Book-Title	svd_rating	linreg_rating
The No. 1 Ladies' Detective Agency (Today Show Book Club #8)	8.14692140750677	24.30789422348822
Oryx and Crake	8.363800324778506	24.25813560306551
Groovitude: A Get Fuzzy Treasury	8.402082122460936	24.25220174827807
The Blue Day Book	8.031442869064842	24.24972417741879
Atonement : A Novel	8.903404679658145	24.241705414848795
Into Thin Air : A Personal Account of the Mt. Everest Disaster	8.902188905205465	24.223202734079365
English Passengers	8.094846123788459	24.201524558960976
The Seeing Stone	8.152203292770286	24.20052916046241
Into the Wild	8.986550358668268	24.200407245214187
Late Bloomer (Michaels, Fern)	8.402089287171927	24.194533642920682
If Only It Were True	8.86666107976631	24.158598889509193
Ransom	8.048511246423772	24.15227320818783
The Lake of Dead Languages (Ballantine Reader's Circle)	8.169001589518473	24.144470003598684
Die PÃ?Â¤pstin.	8.598665027465762	24.138040881184125
By the Light of the Moon	8.87434949467382	24.13005644024674
Standing in the Rainbow	8.684722455297978	24.122374635814687
Princess: A True Story of Life Behind the Veil in Saudi Arabia	8.07420793462207	24.116798377879554
The Left Hand of Darkness (Remembering Tomorrow)	8.227691145128746	24.1106592323913
Chopping Spree	8.881077148141523	24.1095749050238
Rebecca	8.992236430292472	24.107371895616694
Taltos: Lives of the Mayfair Witches	9.448458909627737	24.10582010946171
The Boy Next Door	8.706430489416483	24.105256111678734
The Dolphins of Pern	8.152469329344067	24.103881605142185
Liberty Falling (Anna Pigeon Mysteries (Paperback))	8.054102848248965	24.098648377352838
Angry Housewives Eating Bon Bons (Ballantine Reader's Circle)	8.623651081076186	24.098040975171408
Lasher: Lives of the Mayfair Witches (Lives of the Mayfair Witches)	8.694929420035878	24.097473353084993
Resistance : A Novel	8.071257369411843	24.097377024603276
The Secret Hour	8.676308448857426	24.094921394748035
Breathing Room (Avon Romance)	8.114210673124857	24.09173543143899
Seize the Night	8.214638160939945	24.09119400532343
Naked	8.306791289984872	24.090247892420912
A Widow for One Year	8.298014653308842	24.08718544654915
The Hitchhiker's Guide to the Galaxy	9.284629020203734	24.07891851629072
Sticks &amp; Scones	8.160038858695652	24.07817879601395
HARVEST	8.691363697766903	24.07528390919152
In Pursuit of the Proper Sinner	8.001568323266198	24.072568892550265
Women Who Run with the Wolves	8.015303665215969	24.07030001191316
All Souls: A Family Story from Southie (Ballantine Reader's Circle)	8.12331196875631	24.065008448249934
Follow the River	8.814035624726438	24.060929568812547
Billy Straight : A Novel	8.9003098590415	24.057410878178686
A Prayer for Owen Meany (Ballantine Reader's Circle)	8.480272635878887	24.05639048060553
Dr. Atkins' New Diet Revolution	8.45532378074903	24.0558031073815
The Moor (Mary Russell Novels (Paperback))	8.030424145894603	24.0486966113097
For the Sake of Elena	8.017692097199088	24.044470913887196
Judgment in Death	8.14951031799367	24.044351550168933
Glory in Death	8.423376162429607	24.042576410868172
Imitation in Death (Eve Dallas Mysteries (Paperback))	8.238620352985597	24.034030556031468
Maya Angelou: Poems	8.384583285760078	24.03140619544314
Big Trouble	8.441500410775411	24.028375845083154
Stalking Darkness (Nightrunner, Vol. 2)	8.176187515397494	24.025732494938488
Secret Prey	8.27558942742875	24.02405494998549
A Thousand Acres (Ballantine Reader's Circle)	8.317222111041387	24.020908003028076
Assassin's Apprentice (The Farseer Trilogy, Book 1)	8.95556973934589	24.00964144361528
The Killer Angels	9.106553318709652	23.99994389627838
Sweet Revenge	8.674048915154035	23.999347700128872
Narcissus in Chains (Anita Blake Vampire Hunter (Hardcover))	8.396014511105184	23.99902342873964
Sisterhood of the Traveling Pants	9.49514316434477	23.99726730934254
Rebecca	8.237260083429891	23.993530639845332
In a Sunburned Country	8.04819464956958	23.992830894442662
The Apocalypse Watch	8.258764390920772	23.989982718890865
Gibbon's Decline and Fall	8.013123352037397	23.988413496374456
The Sum of All Fears	8.15236253089017	23.98586193534058
The Devil in the White City : Murder, Magic, and Madness at the Fair That Changed America (Illinois)	8.035945274356369	23.98353786717984
McNally's Gamble (Archy McNally Novels (Paperback))	9.509608237712964	23.981546666987192
Flowers for Algernon (Bantam Classic)	8.79474931403786	23.981001732566497
The Second Summer of the Sisterhood	8.795827838774775	23.97683690673864
American Fuji	8.789442186676258	23.976298781525017
Jane Eyre (Bantam Classics)	8.028193066306653	23.970440131883656
Pot Shot	8.28813831161335	23.969683388693063
Chocolat	8.219575050064224	23.966481300339368
Crime Brulee (Culinary Mysteries (Paperback))	8.02049366531146	23.96499456919036
Christy	9.13398670034226	23.964789990129717
Time Flies	8.531117820868415	23.959535193599052
Hiding Place	8.037575306903989	23.959173449617964
Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson	8.460336182082413	23.953571337419227
The King of Torts	8.1583046625907	23.937742846256384
Bridge to Terabithia	8.367465642333167	23.937309408256247
Born in Ice	8.29466836829569	23.93592378568259
The Hunt for Red October (Jack Ryan Novels)	9.259536933205288	23.926118640577165
Anne of the Island	8.489925245356202	23.90710931975046
The Wedding	8.08096217379182	23.904247376105623
Alive : The Story of the Andes Survivors (Avon Nonfiction)	8.218721620897234	23.90017553481342
Bridge of Birds	8.2737206618249	23.888945899806885
Tulip Fever	8.020434198177899	23.88181448768176
The Golden Compass (His Dark Materials, Book 1)	8.082376850538388	23.881474494430385
Lord God Made Them All	8.765896805547548	23.880667408710345
Patriot Games	8.145222619839146	23.880290937817975
The Probable Future	8.009407738467011	23.86896099818741
The Rainmaker	8.06600680727116	23.86831159012055
The Partner	8.678562990428798	23.861963056708404
Schande	8.853061665132909	23.84843779932796
The Hobbit : The Enchanting Prelude to The Lord of the Rings	10.0	23.84531489623982
Outlander	9.260565409901096	23.840967922824724
Der Kleine Hobbit	8.394929865085649	23.840734347235006
The Last Juror	9.258400735523459	23.839621000686158
Drowning Ruth	9.00632547703103	23.8316184500072
Can You Keep a Secret?	9.54020895699399	23.824498105814
Love's Enduring Promise (Love Comes Softly, Book 2)	8.346675063586858	23.824411283338286
Evening Class	8.398589880222662	23.819718981161984
Lost in Translation	8.352277587817142	23.815662203135183
The Curious Incident of the Dog in the Night-Time : A Novel	8.362825649189912	23.814341503805473
Dave Gorman's Googlewhack Adventure	8.035094584113843	23.813243537945468
The Great Train Robbery	8.104955352165844	23.79148814951185
The Runaway Jury	8.558753707792999	23.788783751047504
Light a Penny Candle	9.84583563242452	23.785700219813343
Having Our Say : The Delany Sisters' First 100 Years	8.940813728558068	23.77638047892355
Golem in the Gears (Xanth Novels (Paperback))	8.124861951943391	23.77261445705551
Ceremony	8.17583970167128	23.769902842152852
No Second  Chance	8.111695328143675	23.769510929619067
Fahrenheit 451	9.59929732735743	23.76835851921099
Die fÃ?Â¼nfte Frau.	8.177531145541828	23.763815228469134
Summer's End	8.417424409026564	23.743791966393957
Adventures of Huckleberry Finn (Dover Thrift Editions)	8.667577908338956	23.72624532082616
A Perfect Day	9.124262313027156	23.721432447616756
A Widow for One Year	8.093609597170985	23.719494403782875
Fahrenheit 451	8.066231045843637	23.719472076868307
Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies	10.0	23.718011758417497
Unless: A Novel	9.681668389353769	23.691494745859828
Retribution	8.284856298982218	23.655673229268274
The Witches of Eastwick	8.015547582510779	23.647584227866986
My Name Is Asher Lev	8.019322723651607	23.644141109646604
Skin Tight	8.404289014437733	23.63386217430743
Centennial	8.071407635431072	23.630756237150976
The BODACIOUS BOOK OF SUCCULENCE : DARING TO LIVE YOUR SUCCULENT WILD LIFE	8.091140188006552	23.619249733184944
A Woman of Substance	8.043797678781393	23.608541156540582
That Dorky Homemade Look: Quilting Lessons from a Parallel Universe	8.513576150770014	23.608121307106913
Peace Like a River	8.604066680336736	23.605760979726362
Many Lives, Many Masters	8.471295352724455	23.603072668921143
El mÃ©dico	8.304767485218608	23.601908845801155
L'Etranger (Collection Folio, 2)	9.324833976064067	23.589268422213777
The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)	8.460012856895624	23.58844096728309
The Bean Trees	8.876472673418101	23.566279452325603
The Whale Rider	8.68721785163361	23.55677463931213
The Magician's Assistant	8.962074084227364	23.541897869660687
Lucifer's Hammer	8.28928748322213	23.52149480139301
Darkness, Take My Hand (Patrick Kenzie/Angela Gennaro Novels)	8.663650575798963	23.515049794303003
Meditations for Women Who Do Too Much - 10th Anniversary	8.197305147426098	23.50582348693731
Betsy and Tacy Go Downtown (Betsy-Tacy)	8.115791364193708	23.497508409543578
The Sunday Wife: A Novel	8.145204900279516	23.495808989564956
Feet of Clay: A Novel of Discworld (Pratchett, Terry. Discworld Series.)	8.249521315879143	23.488868425046228
Imajica	8.719530777447146	23.485645883427345
"A Child Called \It\"": One Child's Courage to Survive"""	8.723741577711591	23.479423093291874
The Saving Graces: A Novel	9.102751019500957	23.47912696740252
Jingo: A Novel of Discworld	8.442505042497922	23.477990238632323
A 3rd Serving of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper))	8.215512423443581	23.465903244964913
Catherine, Called Birdy (Trophy Newbery)	8.256483771704318	23.465729663343275
Interesting Times (Discworld Novels (Paperback))	8.727790639158487	23.46353150647605
Shattered	8.184950992890196	23.45649464795831
The Pilot's Wife	10.0	23.45141933147061
Dave Barry's Bad Habits a 100% Fact-Free Book	8.350625233249335	23.438421689465272
Small Gods (Discworld Novels (Paperback))	8.13547682127398	23.434272181906174
The Beach House	8.90567634176417	23.42817302546556
Dance upon the Air (Three Sisters Island Trilogy)	8.646214326782761	23.424924776022806
Come to Grief	8.009923498383833	23.42259496991879
Life Strategies: Doing What Works, Doing What Matters	8.322374277456754	23.42086876003738
Carolina Moon	8.647747963172069	23.417045398435814
Kiss Kiss (French Language Edition)	8.608295528053063	23.410630192599953
Inner Harbor (Quinn Brothers (Paperback))	8.15432907030004	23.408705812751116
Almost: A Novel	8.402874639530593	23.407678215119965
The Eternity Code (Artemis Fowl, Book 3)	8.298921539253092	23.400182892224926
16 Lighthouse Road	8.126899533804044	23.398073473467576
Thursday'S At Eight	8.29466998907843	23.392151939116182
Dead Run	9.114390122481499	23.39162708550985
A Dangerous Fortune	8.090588590676244	23.37843574945657
True Betrayals	8.018676957607028	23.365073106167007
Redeeming Love	8.537921967257944	23.352427298157323
No Witnesses: A Novel	8.089467612330479	23.338274476304804
Messiah	8.394488448948184	23.314000448949663
El Hobbit	8.475366481910477	23.305469454949815
Les Dames du lac, tome 1	8.183427868357242	23.29641496656533
The Blue Last: A Richard Jury Mystery (Richard Jury Mysteries (Paperback))	8.1500873721754	23.27517450220759
Mrs. Dalloway (Wordsworth Collection)	8.33305653394356	23.256860568145413
Year of Wonders	8.282037061185445	23.252583529102537
The Grapes of Wrath: John Steinbeck Centennial Edition (1902-2002)	8.378904572158703	23.248285180967446
A Confederacy of Dunces	9.236618928651144	23.245823876866154
Tess of the D'Urbervilles (Wordsworth Classics)	8.182651534766787	23.241466328010453
In the Heart of the Sea: The Tragedy of the Whaleship Essex	9.120135564778124	23.222507424253582
The Debt to Pleasure: A Novel	8.115604206376046	23.222341992069758
Michelangelo and the Pope's Ceiling	8.205351653714908	23.22228901507168
Revenge of the Middle-Aged Woman	8.758632878430761	23.21850856817383
Bel Canto: A Novel	8.388756660237584	23.210860477896134
Prodigal Summer: A Novel	8.839389953580902	23.210155015323636
The Secret Life of Bees	8.94886365416213	23.209266909403247
Island of the Sequined Love Nun	8.02729718070821	23.202973645099767
Neither Here nor There: Travels in Europe	8.66224687622558	23.19805079307382
The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man	8.411520242653646	23.1760400326269
Persuasion: With a Memoir of Jane Austen	8.016240167714043	23.17293009282072
Pride and Prejudice (Penguin Popular Classics)	8.350108664290312	23.17241293275532
Of Mice and Men (Penguin Great Books of the 20th Century)	8.443642799437566	23.1684890691702
Emma (Penguin Popular Classics)	9.326839363687903	23.154269569325365
The New York Trilogy: City of Glass, Ghosts, the Locked Room (Contemporary American Fiction Series)	8.398430761543036	23.152929255383135
Candide (Penguin Classics)	8.002120679367708	23.14909406448769
Middlesex: A Novel	9.308079402469817	23.14376092298145
From strength to strength: An autobiography	8.171023095807783	23.14270414379481
The Bean Trees	8.249268384521859	23.133283369106422
Serpent : A Novel from the NUMA Files (Numa Files Series)	8.273041471329417	23.129794001308834
Angels &amp; Demons	10.0	23.127478633884273
Frankenstein or the Modern Prometheus (Penguin Classics)	8.690779806328592	23.127415840437376
The Empty Chair	8.45898629983336	23.120787451230456
The River King	8.432869096943856	23.11491836804474
Pride and Prejudice (The Penguin English Library, El 72)	9.298251323533798	23.110780720403497
Contact	8.236131028760676	23.107912123712136
The Devil's Teardrop	8.566408034333744	23.106183459546298
She Said Yes: The Unlikely Martyrdom of Cassie Bernall	8.315023154296764	23.10160122514554
The Bone People	8.826162475609063	23.092947199475915
Grave Secrets	8.280141701093461	23.090870828017703
Crossing to Safety	8.368677090009177	23.087217943681992
DIANA: HER TRUE STORY : DIANA: HER TRUE STORY	8.11854580941429	23.084949650819247
The Virgin Blue	9.025146582696502	23.077468987723492
Funny in Farsi : A Memoir of Growing Up Iranian in America	8.198488341441589	23.069029965326912
The Plot Thickens	8.018787199932088	23.064846837246876
The Heiress	8.10150028261161	23.064749361297046
Girl with a Pearl Earring	8.672080024886103	23.05355018843136
ICEBERG : ICEBERG	8.140251379236167	23.05272511258917
The Bookman's Wake (Cliff Janeway Novels (Paperback))	8.63130357165441	23.052035337534726
Enemy Within	8.150973034644899	23.050036004640845
Chesapeake Blue (Quinn Brothers (Hardcover))	9.162947265843565	23.043111146574425
El lÃ¡piz del carpintero	8.048038788755584	23.037992844354996
Their Eyes Were Watching God: A Novel	8.057768773048695	23.037022016994914
LITTLE WOMEN	8.278649133970939	23.036143501241227
Salem's Lot	8.284471612018836	23.035667900774428
La fiesta del chivo	8.621881049427088	23.032931942068966
Postmortem (Kay Scarpetta Mysteries (Paperback))	9.265167599062883	23.0309792371501
The BFG	8.699228088859375	23.027960580102867
Dirk Gently's Holistic Detective Agency	8.247978344310566	23.023808840865858
The Tightwad Gazette: Promoting Thrift As a Viable Alternative Lifestyle	9.269079202812213	23.02231608565603
Where Are the Children?	8.755772077519458	23.020196025259974
The Good Earth (Enriched Classics)	9.131173977463327	23.017024709438672
CONTACT	8.82869928011377	23.016097803568222
So Long and Thanks for all the Fish	8.049203885832569	23.013133585890962
